Date,Daily minimum temperatures,Year,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990
1981-06-15,8.045539739762651,1981,06-15,0,0,0,0,0,0,0,0,0
1981-06-16,3.238979179430177,1981,06-16,0,0,0,0,0,0,0,0,0
1981-06-17,1.9126958936805596,1981,06-17,0,0,0,0,0,0,0,0,0
1981-06-18,4.3,1981,06-18,0,0,0,0,0,0,0,0,0
1981-06-19,3.944550749953384,1981,06-19,0,0,0,0,0,0,0,0,0
1981-06-20,3.49745906173828,1981,06-20,0,0,0,0,0,0,0,0,0
1981-06-21,,1981,06-21,0,0,0,0,0,0,0,0,0
1981-06-22,9.025129531153734,1981,06-22,0,0,0,0,0,0,0,0,0
1981-06-23,2.5497381917503033,1981,06-23,0,0,0,0,0,0,0,0,0
1981-06-24,5.8,1981,06-24,0,0,0,0,0,0,0,0,0
1981-06-25,,1981,06-25,0,0,0,0,0,0,0,0,0
1981-06-26,7.154313142363959,1981,06-26,0,0,0,0,0,0,0,0,0
1981-06-27,9.2,1981,06-27,0,0,0,0,0,0,0,0,0
1981-06-28,,1981,06-28,0,0,0,0,0,0,0,0,0
1981-06-29,10.107429649227475,1981,06-29,0,0,0,0,0,0,0,0,0
1981-06-30,8.238333236959678,1981,06-30,0,0,0,0,0,0,0,0,0
1981-07-01,9.228295850111351,1981,07-01,0,0,0,0,0,0,0,0,0
1981-07-02,10.032293717251521,1981,07-02,0,0,0,0,0,0,0,0,0
1981-07-03,6.5,1981,07-03,0,0,0,0,0,0,0,0,0
1981-07-04,6.6160048390600465,1981,07-04,0,0,0,0,0,0,0,0,0
1981-07-05,7.4,1981,07-05,0,0,0,0,0,0,0,0,0
1981-07-06,8.1,1981,07-06,0,0,0,0,0,0,0,0,0
1981-07-07,7.174931366937005,1981,07-07,0,0,0,0,0,0,0,0,0
1981-07-08,8.3,1981,07-08,0,0,0,0,0,0,0,0,0
1981-07-09,,1981,07-09,0,0,0,0,0,0,0,0,0
1981-07-10,4.6,1981,07-10,0,0,0,0,0,0,0,0,0
1981-07-11,6.8,1981,07-11,0,0,0,0,0,0,0,0,0
1981-07-12,5.7,1981,07-12,0,0,0,0,0,0,0,0,0
1981-07-13,6.1,1981,07-13,0,0,0,0,0,0,0,0,0
1981-07-14,8.284488552007232,1981,07-14,0,0,0,0,0,0,0,0,0
1981-07-15,6.925639117613422,1981,07-15,0,0,0,0,0,0,0,0,0
1981-07-16,6.3,1981,07-16,0,0,0,0,0,0,0,0,0
1981-07-17,9.619623166144684,1981,07-17,0,0,0,0,0,0,0,0,0
1981-07-18,6.137195878182944,1981,07-18,0,0,0,0,0,0,0,0,0
1981-07-19,7.4,1981,07-19,0,0,0,0,0,0,0,0,0
1981-07-20,8.993422141855955,1981,07-20,0,0,0,0,0,0,0,0,0
1981-07-21,14.721536174276638,1981,07-21,0,0,0,0,0,0,0,0,0
1981-07-22,8.751255790715373,1981,07-22,0,0,0,0,0,0,0,0,0
1981-07-23,8.9,1981,07-23,0,0,0,0,0,0,0,0,0
1981-07-24,9.8,1981,07-24,0,0,0,0,0,0,0,0,0
1981-07-25,9.5919639002426,1981,07-25,0,0,0,0,0,0,0,0,0
1981-07-26,,1981,07-26,0,0,0,0,0,0,0,0,0
1981-07-27,8.174759476106827,1981,07-27,0,0,0,0,0,0,0,0,0
1981-07-28,8.0,1981,07-28,0,0,0,0,0,0,0,0,0
1981-07-29,6.1,1981,07-29,0,0,0,0,0,0,0,0,0
1981-07-30,2.347239930638502,1981,07-30,0,0,0,0,0,0,0,0,0
1981-07-31,3.2,1981,07-31,0,0,0,0,0,0,0,0,0
1981-08-01,7.938169021231124,1981,08-01,0,0,0,0,0,0,0,0,0
1981-08-02,7.7,1981,08-02,0,0,0,0,0,0,0,0,0
1981-08-03,11.80536714879242,1981,08-03,0,0,0,0,0,0,0,0,0
1981-08-04,10.0,1981,08-04,0,0,0,0,0,0,0,0,0
1981-08-05,6.2,1981,08-05,0,0,0,0,0,0,0,0,0
1981-08-06,7.087865992266643,1981,08-06,0,0,0,0,0,0,0,0,0
1981-08-07,5.531695151212698,1981,08-07,0,0,0,0,0,0,0,0,0
1981-08-08,6.8,1981,08-08,0,0,0,0,0,0,0,0,0
1981-08-09,7.0,1981,08-09,0,0,0,0,0,0,0,0,0
1981-08-10,5.3290577264757975,1981,08-10,0,0,0,0,0,0,0,0,0
1981-08-11,,1981,08-11,0,0,0,0,0,0,0,0,0
1981-08-12,6.598148594851746,1981,08-12,0,0,0,0,0,0,0,0,0
1981-08-13,8.654303496247186,1981,08-13,0,0,0,0,0,0,0,0,0
1981-08-14,8.971171308697194,1981,08-14,0,0,0,0,0,0,0,0,0
1981-08-15,6.332928288269969,1981,08-15,0,0,0,0,0,0,0,0,0
1981-08-16,10.3,1981,08-16,0,0,0,0,0,0,0,0,0
1981-08-17,,1981,08-17,0,0,0,0,0,0,0,0,0
1981-08-18,6.545962019080221,1981,08-18,0,0,0,0,0,0,0,0,0
1981-08-19,,1981,08-19,0,0,0,0,0,0,0,0,0
1981-08-20,12.5,1981,08-20,0,0,0,0,0,0,0,0,0
1981-08-21,4.5785987173436835,1981,08-21,0,0,0,0,0,0,0,0,0
1981-08-22,7.9,1981,08-22,0,0,0,0,0,0,0,0,0
1981-08-23,3.9,1981,08-23,0,0,0,0,0,0,0,0,0
1981-08-24,,1981,08-24,0,0,0,0,0,0,0,0,0
1981-08-25,4.6,1981,08-25,0,0,0,0,0,0,0,0,0
1981-08-26,9.201882470958502,1981,08-26,0,0,0,0,0,0,0,0,0
1981-08-27,6.0,1981,08-27,0,0,0,0,0,0,0,0,0
1981-08-28,4.553499652843454,1981,08-28,0,0,0,0,0,0,0,0,0
1981-08-29,8.1,1981,08-29,0,0,0,0,0,0,0,0,0
1981-08-30,7.315162040714069,1981,08-30,0,0,0,0,0,0,0,0,0
1981-08-31,5.094740163780047,1981,08-31,0,0,0,0,0,0,0,0,0
1981-09-01,8.0,1981,09-01,0,0,0,0,0,0,0,0,0
1981-09-02,10.326114992103012,1981,09-02,0,0,0,0,0,0,0,0,0
1981-09-03,9.055012302471173,1981,09-03,0,0,0,0,0,0,0,0,0
1981-09-04,9.6,1981,09-04,0,0,0,0,0,0,0,0,0
1981-09-05,8.5,1981,09-05,0,0,0,0,0,0,0,0,0
1981-09-06,8.539285892910328,1981,09-06,0,0,0,0,0,0,0,0,0
1981-09-07,,1981,09-07,0,0,0,0,0,0,0,0,0
1981-09-08,,1981,09-08,0,0,0,0,0,0,0,0,0
1981-09-09,14.385061650368556,1981,09-09,0,0,0,0,0,0,0,0,0
1981-09-10,,1981,09-10,0,0,0,0,0,0,0,0,0
1981-09-11,11.42994346667364,1981,09-11,0,0,0,0,0,0,0,0,0
1981-09-12,10.1,1981,09-12,0,0,0,0,0,0,0,0,0
1981-09-13,12.755641522951224,1981,09-13,0,0,0,0,0,0,0,0,0
1981-09-14,7.9306264329340355,1981,09-14,0,0,0,0,0,0,0,0,0
1981-09-15,,1981,09-15,0,0,0,0,0,0,0,0,0
1981-09-16,15.34307354448803,1981,09-16,0,0,0,0,0,0,0,0,0
1981-09-17,12.421616648063573,1981,09-17,0,0,0,0,0,0,0,0,0
1981-09-18,15.530522971213955,1981,09-18,0,0,0,0,0,0,0,0,0
1981-09-19,10.994315825659344,1981,09-19,0,0,0,0,0,0,0,0,0
1981-09-20,6.5,1981,09-20,0,0,0,0,0,0,0,0,0
1981-09-21,11.0,1981,09-21,0,0,0,0,0,0,0,0,0
1981-09-22,5.530551940710513,1981,09-22,0,0,0,0,0,0,0,0,0
1981-09-23,8.002355753441666,1981,09-23,0,0,0,0,0,0,0,0,0
1981-09-24,7.051874378975136,1981,09-24,0,0,0,0,0,0,0,0,0
1981-09-25,7.6,1981,09-25,0,0,0,0,0,0,0,0,0
1981-09-26,10.7,1981,09-26,0,0,0,0,0,0,0,0,0
1981-09-27,8.087822509971343,1981,09-27,0,0,0,0,0,0,0,0,0
1981-09-28,8.40813558645772,1981,09-28,0,0,0,0,0,0,0,0,0
1981-09-29,11.46211160983716,1981,09-29,0,0,0,0,0,0,0,0,0
1981-09-30,10.835586507147093,1981,09-30,0,0,0,0,0,0,0,0,0
1981-10-01,8.255104166738988,1981,10-01,0,0,0,0,0,0,0,0,0
1981-10-02,13.2,1981,10-02,0,0,0,0,0,0,0,0,0
1981-10-03,8.6,1981,10-03,0,0,0,0,0,0,0,0,0
1981-10-04,7.189648293314734,1981,10-04,0,0,0,0,0,0,0,0,0
1981-10-05,13.133667613219306,1981,10-05,0,0,0,0,0,0,0,0,0
1981-10-06,12.25038303736704,1981,10-06,0,0,0,0,0,0,0,0,0
1981-10-07,14.3,1981,10-07,0,0,0,0,0,0,0,0,0
1981-10-08,7.3,1981,10-08,0,0,0,0,0,0,0,0,0
1981-10-09,12.580350680126067,1981,10-09,0,0,0,0,0,0,0,0,0
1981-10-10,,1981,10-10,0,0,0,0,0,0,0,0,0
1981-10-11,4.730322146197463,1981,10-11,0,0,0,0,0,0,0,0,0
1981-10-12,6.589505727961673,1981,10-12,0,0,0,0,0,0,0,0,0
1981-10-13,6.730805425392707,1981,10-13,0,0,0,0,0,0,0,0,0
1981-10-14,,1981,10-14,0,0,0,0,0,0,0,0,0
1981-10-15,6.654545252128624,1981,10-15,0,0,0,0,0,0,0,0,0
1981-10-16,8.992812058977005,1981,10-16,0,0,0,0,0,0,0,0,0
1981-10-17,8.6,1981,10-17,0,0,0,0,0,0,0,0,0
1981-10-18,6.594645801430054,1981,10-18,0,0,0,0,0,0,0,0,0
1981-10-19,10.118059719352253,1981,10-19,0,0,0,0,0,0,0,0,0
1981-10-20,12.333515174103402,1981,10-20,0,0,0,0,0,0,0,0,0
1981-10-21,12.01747849281629,1981,10-21,0,0,0,0,0,0,0,0,0
1981-10-22,11.66713997715248,1981,10-22,0,0,0,0,0,0,0,0,0
1981-10-23,8.902903526831123,1981,10-23,0,0,0,0,0,0,0,0,0
1981-10-24,4.898425011205733,1981,10-24,0,0,0,0,0,0,0,0,0
1981-10-25,8.4,1981,10-25,0,0,0,0,0,0,0,0,0
1981-10-26,10.023729293927797,1981,10-26,0,0,0,0,0,0,0,0,0
1981-10-27,13.2,1981,10-27,0,0,0,0,0,0,0,0,0
1981-10-28,12.5,1981,10-28,0,0,0,0,0,0,0,0,0
1981-10-29,,1981,10-29,0,0,0,0,0,0,0,0,0
1981-10-30,10.911472087282913,1981,10-30,0,0,0,0,0,0,0,0,0
1981-10-31,11.405126010400354,1981,10-31,0,0,0,0,0,0,0,0,0
1981-11-01,9.36132402975151,1981,11-01,0,0,0,0,0,0,0,0,0
1981-11-02,11.5,1981,11-02,0,0,0,0,0,0,0,0,0
1981-11-03,11.084902374974664,1981,11-03,0,0,0,0,0,0,0,0,0
1981-11-04,13.434806723144469,1981,11-04,0,0,0,0,0,0,0,0,0
1981-11-05,10.4,1981,11-05,0,0,0,0,0,0,0,0,0
1981-11-06,12.208474333200353,1981,11-06,0,0,0,0,0,0,0,0,0
1981-11-07,6.804006149961836,1981,11-07,0,0,0,0,0,0,0,0,0
1981-11-08,,1981,11-08,0,0,0,0,0,0,0,0,0
1981-11-09,13.962038264905734,1981,11-09,0,0,0,0,0,0,0,0,0
1981-11-10,15.7,1981,11-10,0,0,0,0,0,0,0,0,0
1981-11-11,10.346563856241984,1981,11-11,0,0,0,0,0,0,0,0,0
1981-11-12,10.573663161027996,1981,11-12,0,0,0,0,0,0,0,0,0
1981-11-13,9.7,1981,11-13,0,0,0,0,0,0,0,0,0
1981-11-14,9.560907788906926,1981,11-14,0,0,0,0,0,0,0,0,0
1981-11-15,11.3,1981,11-15,0,0,0,0,0,0,0,0,0
1981-11-16,,1981,11-16,0,0,0,0,0,0,0,0,0
1981-11-17,10.279342913244152,1981,11-17,0,0,0,0,0,0,0,0,0
1981-11-18,,1981,11-18,0,0,0,0,0,0,0,0,0
1981-11-19,11.7,1981,11-19,0,0,0,0,0,0,0,0,0
1981-11-20,13.152808123861904,1981,11-20,0,0,0,0,0,0,0,0,0
1981-11-21,12.048004993990425,1981,11-21,0,0,0,0,0,0,0,0,0
1981-11-22,10.49464574958588,1981,11-22,0,0,0,0,0,0,0,0,0
1981-11-23,15.64587033973009,1981,11-23,0,0,0,0,0,0,0,0,0
1981-11-24,11.340715887939975,1981,11-24,0,0,0,0,0,0,0,0,0
1981-11-25,,1981,11-25,0,0,0,0,0,0,0,0,0
1981-11-26,8.537044945201306,1981,11-26,0,0,0,0,0,0,0,0,0
1981-11-27,11.70538693837367,1981,11-27,0,0,0,0,0,0,0,0,0
1981-11-28,16.658154803557917,1981,11-28,0,0,0,0,0,0,0,0,0
1981-11-29,15.0,1981,11-29,0,0,0,0,0,0,0,0,0
1981-11-30,,1981,11-30,0,0,0,0,0,0,0,0,0
1981-12-01,15.283220293656452,1981,12-01,0,0,0,0,0,0,0,0,0
1981-12-02,11.81294036063287,1981,12-02,0,0,0,0,0,0,0,0,0
1981-12-03,15.121915885631095,1981,12-03,0,0,0,0,0,0,0,0,0
1981-12-04,11.283147893605571,1981,12-04,0,0,0,0,0,0,0,0,0
1981-12-05,12.817102722563474,1981,12-05,0,0,0,0,0,0,0,0,0
1981-12-06,15.46813704443338,1981,12-06,0,0,0,0,0,0,0,0,0
1981-12-07,13.852502210046866,1981,12-07,0,0,0,0,0,0,0,0,0
1981-12-08,12.6,1981,12-08,0,0,0,0,0,0,0,0,0
1981-12-09,12.5,1981,12-09,0,0,0,0,0,0,0,0,0
1981-12-10,12.34461621959839,1981,12-10,0,0,0,0,0,0,0,0,0
1981-12-11,14.8,1981,12-11,0,0,0,0,0,0,0,0,0
1981-12-12,17.2,1981,12-12,0,0,0,0,0,0,0,0,0
1981-12-13,9.7,1981,12-13,0,0,0,0,0,0,0,0,0
1981-12-14,12.1,1981,12-14,0,0,0,0,0,0,0,0,0
1981-12-15,12.8,1981,12-15,0,0,0,0,0,0,0,0,0
1981-12-16,11.950925974444488,1981,12-16,0,0,0,0,0,0,0,0,0
1981-12-17,16.829486848689246,1981,12-17,0,0,0,0,0,0,0,0,0
1981-12-18,15.6,1981,12-18,0,0,0,0,0,0,0,0,0
1981-12-19,13.109520389106345,1981,12-19,0,0,0,0,0,0,0,0,0
1981-12-20,11.0,1981,12-20,0,0,0,0,0,0,0,0,0
1981-12-21,11.1,1981,12-21,0,0,0,0,0,0,0,0,0
1981-12-22,15.0,1981,12-22,0,0,0,0,0,0,0,0,0
1981-12-23,12.389488661588064,1981,12-23,0,0,0,0,0,0,0,0,0
1981-12-24,15.366102271943348,1981,12-24,0,0,0,0,0,0,0,0,0
1981-12-25,14.2,1981,12-25,0,0,0,0,0,0,0,0,0
1981-12-26,,1981,12-26,0,0,0,0,0,0,0,0,0
1981-12-27,15.5,1981,12-27,0,0,0,0,0,0,0,0,0
1981-12-28,,1981,12-28,0,0,0,0,0,0,0,0,0
1981-12-29,15.341346314117818,1981,12-29,0,0,0,0,0,0,0,0,0
1981-12-30,15.74907121652269,1981,12-30,0,0,0,0,0,0,0,0,0
1981-12-31,17.4,1981,12-31,0,0,0,0,0,0,0,0,0
